StationNumber,Station,SampleCount,DateRangeStart,DateRangeEnd,YearsSpanned,EstimatedFrequency,AvgGapDays,MaxGapDays,GapsOver60Days
AB05AA0054,"POND 3A, TENT MOUNTAIN MINE",5,2021-07-08 12:00:00,2022-07-25 13:45:00,1.0458590006844628,Monthly,22.0,34.0,0.0
AB07GD0020,"BEAVERLODGE RIVER, U/S OF BEAVERTAIL CREEK",5,2022-08-14 11:00:00,2023-11-09 11:39:00,1.2375085557837098,Annual or less,144.66666666666666,231.0,3.0
AB07GD0022,"BEAVERTAIL CREEK, D/S OF TWP RD 720 BRIDGE",4,2022-08-09 15:56:00,2023-11-09 16:05:00,1.2511978097193703,Annual or less,218.0,231.0,2.0
AB07GD0095,"REDWILLOW RIVER, D/S OF RR 121 BRIDGE",4,2022-08-09 15:13:00,2023-11-10 12:20:00,1.2511978097193703,Annual or less,217.5,239.0,2.0
AB07BB0326,"NAKAMUN LAKE OUTFLOW, AT TWP RD 570",3,2020-01-29 15:25:00,2020-03-05 12:00:00,0.09582477754962354,Monthly,14.0,14.0,0.0
AB07GD0027,"STEEPROCK CREEK, 17.2 KM U/S HWY 671",3,2022-08-09 16:28:00,2023-11-09 15:07:00,1.2484599589322383,Annual or less,436.0,436.0,1.0
AB05AA0014,"RACEHORSE CREEK, U/S CONFLUENCE WITH OLDMAN RIVER",2,2022-05-18 12:30:00,2022-06-21 15:15:00,0.09308692676249145,Annual or less,,,0.0
AB05DB0016,"TAY RIVER, DOWNSTREAM HWY 591",2,2020-09-23 10:30:00,2020-09-23 10:35:00,0.0,Annual or less,,,0.0
AB05FA0269,"WEILLER CREEK, 1.2 KM U/S OF CONFLUENCE WITH PIPESTONE CREEK",2,2021-09-14 10:15:00,2021-09-21 13:25:00,0.019164955509924708,Annual or less,,,0.0
AB05FA0268,"WEILLER CREEK, 4.5 KM U/S OF CONFLUENCE WITH PIPESTONE CREEK",2,2021-09-14 09:38:00,2021-09-21 13:10:00,0.019164955509924708,Annual or less,,,0.0
AB05FA1860,"PIPESTONE CREEK, AT LARCH TREE PARK, D/S OF HWY 2A",2,2021-11-02 09:15:00,2021-11-09 10:50:00,0.019164955509924708,Annual or less,,,0.0
AB05FA0270,"PIPESTONE CREEK, AT SEC HWY 822 NEAR GWYNNE",2,2021-09-14 10:40:00,2021-09-21 13:40:00,0.019164955509924708,Annual or less,,,0.0
AB05FA1840,"PIPESTONE CREEK, U/S OF MILLET STP OUTFALL",2,2021-11-02 08:50:00,2021-11-09 10:40:00,0.019164955509924708,Annual or less,,,0.0
AB05FA0265,"PIPESTONE CREEK, NE OF WETASKIWIN AT RG RD 234",2,2021-11-02 09:45:00,2021-11-09 11:15:00,0.019164955509924708,Annual or less,,,0.0
AB07GE0090,"BIG MOUNTAIN CREEK, NEAR THE MOUTH",1,2023-10-04 11:45:00,2023-10-04 11:45:00,0.0,Annual or less,,,
AB07GE0190,"BEAR RIVER, AT CONFLUENCE WITH WAPITI RIVER - CENTRE",1,2023-10-05 10:10:00,2023-10-05 10:10:00,0.0,Annual or less,,,
AB07GC0011,"PINTO CREEK, AT MOUTH",1,2023-10-03 09:30:00,2023-10-03 09:30:00,0.0,Annual or less,,,
AB07GE0012,"PIPESTONE CREEK, AT MOUTH",1,2023-10-03 13:40:00,2023-10-03 13:40:00,0.0,Annual or less,,,
AB05FC0051,"RED WILLOW CREEK, 4.3 KM U/S OF STETTLER WWTF",1,2021-09-21 10:15:00,2021-09-21 10:15:00,0.0,Annual or less,,,
AB07GD0091,"REDWILLOW RIVER, AT MOUTH",1,2023-10-03 11:15:00,2023-10-03 11:15:00,0.0,Annual or less,,,
AB05FC0054,"RED WILLOW CREEK, AT HWY 850",1,2021-09-21 11:20:00,2021-09-21 11:20:00,0.0,Annual or less,,,
AB05FC0052,"RED WILLOW CREEK, 1 KM D/S OF STETTLER WWTF AT RR 200",1,2021-09-21 10:30:00,2021-09-21 10:30:00,0.0,Annual or less,,,
AB07GE0017,"SPRING CREEK, AT MOUTH",1,2023-10-03 15:00:00,2023-10-03 15:00:00,0.0,Annual or less,,,
AB05FC0053,"RED WILLOW CREEK, 8.5 KM D/S OF STETTLER WWTF AT RR 193",1,2021-09-21 11:00:00,2021-09-21 11:00:00,0.0,Annual or less,,,
AB07GE0200,"WAPITI RIVER, 10 KM U/S SMOKY",1,2023-10-05 11:15:00,2023-10-05 11:15:00,0.0,Annual or less,,,
AB07GE0170,"WAPITI RIVER, 10 KM D/S OF GRANDE PRAIRIE PULP MILL EFFLUENT - CENTRE",1,2023-10-05 08:25:00,2023-10-05 08:25:00,0.0,Annual or less,,,
AB07GE0180,"WAPITI RIVER, 0.1 KM U/S OF BEAR RIVER CONFLUENCE - CENTRE - KM 16.5",1,2023-10-05 09:15:00,2023-10-05 09:15:00,0.0,Annual or less,,,
AB05DB0019,"UNNAMED TRIBUTARY TO TAY RIVER, DOWNSTREAM OF PIPELINE (WDIB19646)",1,2020-09-23 12:05:00,2020-09-23 12:05:00,0.0,Annual or less,,,
AB05DB0017,"TAY RIVER, DOWNSTREAM OF PIPELINE CROSSING",1,2020-09-23 11:45:00,2020-09-23 11:45:00,0.0,Annual or less,,,
AB05DB0018,"TAY RIVER, UPSTREAM OF HWY 752",1,2020-09-23 14:06:00,2020-09-23 14:06:00,0.0,Annual or less,,,
AB07GE0060,"WAPITI RIVER, 5.0 KM D/S OF GRANDE PRAIRIE STP EFFLUENT - RIGHT BANK",1,2023-10-04 10:00:00,2023-10-04 10:00:00,0.0,Annual or less,,,
AB07GC0020,"WAPITI RIVER, 5 KM U/S OF REDWILLOW RIVER - CENTRE",1,2023-10-03 10:20:00,2023-10-03 10:20:00,0.0,Annual or less,,,
AB07GE0011,"WAPITI RIVER, U/S OF PIPESTONE CREEK",1,2023-10-03 13:00:00,2023-10-03 13:00:00,0.0,Annual or less,,,
AB07GC0010,"WAPITI RIVER, U/S OF PINTO CREEK",1,2023-10-03 09:00:00,2023-10-03 09:00:00,0.0,Annual or less,,,
AB07GE0150,"WAPITI RIVER, D/S RAILWAY BRIDGE SOUTH EAST OF GRANDE PRAIRIE-TRANSECT",1,2023-10-04 12:45:00,2023-10-04 12:45:00,0.0,Annual or less,,,
AB07GE0070,"WAPITI RIVER, D/S OF GRANDE PRAIRIE PULP MILL HAUL ROAD - CENTRE",1,2023-10-04 10:45:00,2023-10-04 10:45:00,0.0,Annual or less,,,
AB07GE0072,"WAPITI RIVER, U/S OF BIG MOUNTAIN CREEK",1,2023-10-04 11:15:00,2023-10-04 11:15:00,0.0,Annual or less,,,
AB07GE0015,"WAPITI RIVER, SOUTH OF DIMSDALE",1,2023-10-03 14:30:00,2023-10-03 14:30:00,0.0,Annual or less,,,
